alpha,ernie_Vienna,roberta_Vienna,rnafm_Vienna,rinalmo_Vienna,onehot_Vienna,rnabert_Vienna,ernie_Contrafold,roberta_Contrafold,rnafm_Contrafold,rinalmo_Contrafold,onehot_Contrafold,rnabert_Contrafold
1.38,0.654,0.5418,0.594,0.5044,0.5344,0.5223,0.6789,0.5729,0.6178,0.5296,0.5631,0.5541
1.4,0.6543,0.5411,0.5932,0.504,0.5335,0.5217,0.6795,0.5728,0.6177,0.5293,0.5624,0.5533
1.42,0.6542,0.5403,0.5939,0.5021,0.5335,0.5204,0.6798,0.5716,0.6177,0.5277,0.5627,0.552
1.44,0.6542,0.5402,0.5944,0.5026,0.5331,0.5186,0.6803,0.5721,0.6173,0.5266,0.5629,0.5502
1.46,0.654,0.5404,0.5949,0.5025,0.5331,0.5177,0.6806,0.5718,0.6167,0.5256,0.5626,0.5503
1.48,0.6538,0.5398,0.595,0.5023,0.5331,0.517,0.6813,0.5705,0.6169,0.5255,0.5622,0.5486
1.5,0.6547,0.5388,0.5955,0.5013,0.5328,0.5163,0.6809,0.5708,0.6169,0.5237,0.5618,0.5482
1.52,0.6549,0.5389,0.596,0.4998,0.5329,0.5158,0.6804,0.5696,0.6172,0.5233,0.5612,0.5469
1.54,0.6547,0.5383,0.5955,0.4981,0.5309,0.5148,0.6804,0.5688,0.6173,0.5225,0.561,0.5457
1.56,0.6549,0.538,0.5952,0.498,0.531,0.5137,0.681,0.5682,0.617,0.5212,0.5601,0.5439
1.58,0.655,0.5371,0.5957,0.496,0.5307,0.5132,0.6809,0.5677,0.6174,0.521,0.5594,0.5432
1.6,0.6551,0.5377,0.5964,0.4956,0.5301,0.5123,0.6811,0.5671,0.6167,0.5202,0.559,0.5425
1.62,0.655,0.5378,0.5965,0.4942,0.5301,0.5116,0.681,0.5664,0.6165,0.5195,0.5591,0.5412
1.64,0.6552,0.5375,0.597,0.4937,0.5297,0.5115,0.6808,0.5656,0.6146,0.5192,0.5585,0.5411
1.66,0.6553,0.5371,0.5975,0.493,0.5297,0.5108,0.6812,0.5656,0.6143,0.5174,0.5587,0.5392
1.68,0.6552,0.5373,0.5972,0.4918,0.527,0.5105,0.6813,0.5656,0.614,0.5168,0.5587,0.5384
1.7,0.6552,0.5367,0.5965,0.49,0.5269,0.511,0.6816,0.566,0.614,0.5156,0.5581,0.5367
1.72,0.6553,0.5366,0.5975,0.4896,0.5268,0.5093,0.6815,0.5657,0.6135,0.515,0.5576,0.5359
1.74,0.6551,0.5366,0.5975,0.4886,0.5269,0.5086,0.6813,0.5641,0.6142,0.5144,0.5569,0.5352
1.76,0.6551,0.5365,0.5978,0.4879,0.5269,0.5085,0.6817,0.5635,0.6139,0.5131,0.5567,0.533
1.78,0.6552,0.5358,0.5978,0.4872,0.5265,0.5074,0.6811,0.5626,0.6143,0.5123,0.556,0.5334
1.8,0.6549,0.535,0.5973,0.4873,0.5265,0.507,0.6819,0.5616,0.6144,0.5109,0.5562,0.5333
1.82,0.655,0.5347,0.5977,0.4863,0.5234,0.506,0.6816,0.5611,0.6144,0.5095,0.5564,0.5336
1.84,0.6551,0.534,0.5975,0.4863,0.5235,0.5042,0.6817,0.5608,0.6144,0.509,0.5563,0.5322
1.86,0.6554,0.5334,0.5972,0.4854,0.5235,0.5034,0.6821,0.5598,0.6145,0.5081,0.5554,0.5315
1.88,0.6558,0.5323,0.5971,0.4849,0.5234,0.5029,0.682,0.5586,0.615,0.5075,0.5548,0.5301
1.9,0.6557,0.5318,0.5972,0.4835,0.5233,0.5024,0.6818,0.5578,0.6148,0.5068,0.5549,0.5299
1.92,0.6561,0.5306,0.5966,0.4833,0.5235,0.5017,0.6819,0.5571,0.6153,0.5054,0.5552,0.5295
1.94,0.6555,0.5303,0.5968,0.4827,0.5235,0.5013,0.6827,0.5553,0.6152,0.505,0.5548,0.5286
1.96,0.6553,0.5297,0.5964,0.4829,0.5227,0.5011,0.6829,0.5541,0.6148,0.5038,0.5546,0.5283
1.98,0.6555,0.5291,0.5962,0.4824,0.5227,0.5007,0.6828,0.5535,0.6149,0.502,0.5545,0.527
2.0,0.6554,0.5298,0.5952,0.4813,0.5226,0.5007,0.6827,0.5527,0.6146,0.501,0.5538,0.5249
